"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9640148","Infection with Enterobacteria","8/455","35/8526",0.228571428571429,4.28307692307692,4.6208820029687,0.000405863298858454,0.00978180276667485,0.00978180276667485,"LAMA2/COL5A2/COL4A6/COL4A2/COL4A1/COL4A5/LAMA4/LAMA1",8
"R-HSA-449147","Signaling by Interleukins","37/455","389/8526",0.0951156812339332,1.78232153450662,3.74987806649385,0.000411220688760034,0.00978180276667485,0.00978180276667485,"FGF2/GAB2/ZEB1/LIF/SOCS2/IKBIP/HMOX1/SAA1/IL18RAP/IL33/SQSTM1/MEF2C/TWIST1/CD36/CCL2/IL27RA/HGF/CSF3/CXCL8/PTGS2/MMP1/H3C6/CASP1/IL9R/NFKBIB/IL4R/IL6ST/LCK/VAV1/IL11/CD4/MMP3/COL1A2/IL13RA2/IL6/CDKN1A/TIMP1",37
"R-HSA-171306","Packaging Of Telomere Ends","7/455","28/8526",0.25,4.68461538461538,4.63662563386656,0.000523164741153606,0.0121853787627027,0.0121853787627027,"H4C8/H2BC5/H4C9/H2AC6/H2BC12/TERF2IP/H2BC11",7
"R-HSA-114608","Platelet degranulation","14/455","97/8526",0.144329896907216,2.704520222046,4.00856764434241,0.000589847469337459,0.0134581524636588,0.0134581524636588,"CLU/CD36/VEGFD/HGF/ECM1/SPARC/A2M/PROS1/FERMT3/PHACTR2/ABCC4/THBS1/RARRES2/TIMP1",14
"R-HSA-9006936","Signaling by TGFB family members","18/455","145/8526",0.124137931034483,2.32615384615385,3.82401166564541,0.000678929984306454,0.0151808744490923,0.0151808744490923,"FGF2/CDKN2B/FST/GREM2/PPM1A/BMP2/ITGB5/MMP14/LTBP3/ITGA8/FBN1/FSTL1/INHBA/LTBP1/FURIN/COL1A2/APH1B/TIMP1",18
"R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling","13/455","88/8526",0.147727272727273,2.76818181818182,3.95856439907566,0.000733258275726916,0.016074171612994,0.016074171612994,"FGF2/GAB2/BDNF/IL33/NRG1/FGF7/HGF/AREG/LCK/VAV1/FGFR1/EREG/PDGFRA",13
"R-HSA-9913351","Formation of the dystrophin-glycoprotein complex (DGC)","7/455","30/8526",0.233333333333333,4.37230769230769,4.39308682922331,0.000819883431730397,0.0169746236421219,0.0169746236421219,"ACTG2/LAMA2/SGCB/ACTA2/DRP2/LAMA4/LAMA1",7
"R-HSA-9940465","ChAHP complex assembly","7/455","30/8526",0.233333333333333,4.37230769230769,4.39308682922331,0.000819883431730397,0.0169746236421219,0.0169746236421219,"H4C8/H2BC5/H4C9/H2AC6/H2BC12/H3C6/H2BC11",7
"R-HSA-73728","RNA Polymerase I Promoter Opening","7/455","30/8526",0.233333333333333,4.37230769230769,4.39308682922331,0.000819883431730397,0.0169746236421219,0.0169746236421219,"H4C8/H2BC5/H4C9/H2AC6/H2BC12/H3C6/H2BC11",7
"R-HSA-76005","Response to elevated platelet cytosolic Ca2+","14/455","102/8526",0.137254901960784,2.57194570135747,3.7919942115955,0.000982820019775457,0.0199780505837993,0.0199780505837993,"CLU/CD36/VEGFD/HGF/ECM1/SPARC/A2M/PROS1/FERMT3/PHACTR2/ABCC4/THBS1/RARRES2/TIMP1",14
"R-HSA-5334118","DNA methylation","7/455","31/8526",0.225806451612903,4.23126550868486,4.27918456794835,0.00101111556344298,0.0201861999987366,0.0201861999987366,"H4C8/H2BC5/H4C9/H2AC6/H2BC12/H3C6/H2BC11",7
"R-HSA-2299718","Condensation of Prophase Chromosomes","8/455","40/8526",0.2,3.74769230769231,4.13557401975168,0.00104874844322033,0.0202155303365574,0.0202155303365574,"H4C8/H2BC5/NCAPH2/H4C9/H2AC6/H2BC12/H3C6/H2BC11",8
"R-HSA-9710421","Defective pyroptosis","8/455","40/8526",0.2,3.74769230769231,4.13557401975168,0.00104874844322033,0.0202155303365574,0.0202155303365574,"H4C8/H2BC5/H4C9/H2AC6/GSDME/H2BC12/H3C6/H2BC11",8
"R-HSA-9824439","Bacterial Infection Pathways","13/455","92/8526",0.141304347826087,2.64782608695652,3.77292096567438,0.00112300794795991,0.0212800489121895,0.0212800489121895,"ANTXR1/LAMA2/COL5A2/COL4A6/TXNRD1/COL4A2/COL4A1/COL4A5/LAMA4/LAMA1/SV2A/SYT1/FURIN",13
"R-HSA-9759476","Regulation of Homotypic Cell-Cell Adhesion","20/455","177/8526",0.112994350282486,2.11734028683181,3.56651519893474,0.00116608984936528,0.0215867985096759,0.0215867985096759,"H4C8/H2BC5/ZEB1/ACTG2/MCRIP1/SNAI2/TWIST1/CDH11/ACTA2/H4C9/CTSL/H2AC6/H2BC12/MDM2/H3C6/ZEB2/H2BC11/FURIN/FOXF1/CTSB",20
"R-HSA-5625886","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3","7/455","32/8526",0.21875,4.09903846153846,4.1699903077708,0.00123573801844298,0.0215867985096759,0.0215867985096759,"H4C8/H2BC5/H4C9/H2AC6/H2BC12/H3C6/H2BC11",7
"R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine","7/455","32/8526",0.21875,4.09903846153846,4.1699903077708,0.00123573801844298,0.0215867985096759,0.0215867985096759,"H4C8/H2BC5/H4C9/H2AC6/H2BC12/TERF2IP/H2BC11",7
"R-HSA-110331","Cleavage of the damaged purine","7/455","32/8526",0.21875,4.09903846153846,4.1699903077708,0.00123573801844298,0.0215867985096759,0.0215867985096759,"H4C8/H2BC5/H4C9/H2AC6/H2BC12/TERF2IP/H2BC11",7
"R-HSA-73927","Depurination","7/455","32/8526",0.21875,4.09903846153846,4.1699903077708,0.00123573801844298,0.0215867985096759,0.0215867985096759,"H4C8/H2BC5/H4C9/H2AC6/H2BC12/TERF2IP/H2BC11",7
"R-HSA-372790","Signaling by GPCR","36/455","399/8526",0.0902255639097744,1.69068825910931,3.35500066081239,0.00129132126255777,0.0216929037302445,0.0216929037302445,"TRPC6/PRKAR2B/S1PR3/RGS17/PDE3A/RGS4/ADORA1/SAA1/CXCL6/PLCB1/CCL2/C3/LPAR3/WNT2B/CXCL8/HRAS/ADM/GPR68/FZD1/UCN/CXCR6/GNG11/RGS2/GNAI1/GPR37/LPAR1/GPR176/EDNRB/VAV1/RASGRF2/MMP3/GNB4/GPSM1/RGS5/P2RY14/WNT5A",36
"R-HSA-75892","Platelet Adhesion to exposed collagen","4/455","10/8526",0.4,7.49538461538461,4.87951058510444,0.00129906843790227,0.0216929037302445,0.0216929037302445,"ITGA10/ITGA2/COL1A1/COL1A2",4
